candidate_no,account1,account2,position1,position2,term
1,馬英九,吳敦義,總統,副總統,13
2,吳育昇,,立法委員,,8
3,顏清標,,立法委員,,8
4,蘇震清,,立法委員,,8
5,林德福,,立法委員,,8
6,蔡錦隆,,立法委員,,8
7,賴清德,,臺南市市長,,1
8,王惠美,,立法委員,,8
9,丁守中,,立法委員,,8
10,徐耀昌,,立法委員,,8
11,張慶忠,,立法委員,,8
12,蔣乃辛,,立法委員補選,,7
13,謝國樑,,立法委員,,8
14,黃昭順,,立法委員,,8
15,朱立倫,,新北市市長,,1
16,林鴻池,,立法委員,,8
17,李鴻鈞,,立法委員,,8
18,蔣乃辛,,立法委員,,8
19,蔡正元,,立法委員,,8
20,楊瓊瓔,,立法委員,,8
21,江惠貞,,立法委員,,8
22,費鴻泰,,立法委員,,8
23,蔣乃辛,,臺北市市議員,,10
24,廖正井,,立法委員,,8
25,賴士葆,,立法委員,,8
26,王進士,,立法委員,,8
27,潘孟安,,立法委員,,8
28,羅明才,,立法委員,,8
